Id,SalePrice
1461,123978.0
1462,159390.0
1463,186983.0
1464,193497.0
1465,185159.0
1466,172615.0
1467,174931.0
1468,167058.0
1469,177647.0
1470,123069.0
1471,206000.0
1472,98551.0
1473,93050.0
1474,155386.0
1475,122795.0
1476,371161.0
1477,249901.0
1478,272603.0
1479,279658.0
1480,445151.0
1481,313729.0
1482,209085.0
1483,165707.0
1484,166486.0
1485,189869.0
1486,197655.0
1487,336595.0
1488,239408.0
1489,202132.0
1490,221043.0
1491,190061.0
1492,92554.0
1493,173535.0
1494,308971.0
1495,292239.0
1496,228020.0
1497,184154.0
1498,157958.0
1499,162207.0
1500,152021.0
1501,172145.0
1502,139048.0
1503,286062.0
1504,247411.0
1505,225432.0
1506,183143.0
1507,244037.0
1508,204170.0
1509,163852.0
1510,145844.0
1511,146220.0
1512,167616.0
1513,138874.0
1514,159019.0
1515,205392.0
1516,149722.0
1517,163942.0
1518,132557.0
1519,224413.0
1520,133912.0
1521,136449.0
1522,174153.0
1523,113828.0
1524,128922.0
1525,125670.0
1526,118418.0
1527,107814.0
1528,141440.0
1529,151948.0
1530,167353.0
1531,101333.0
1532,100271.0
1533,141331.0
1534,124054.0
1535,155950.0
1536,100124.0
1537,65834.0
1538,157569.0
1539,185796.0
1540,90433.0
1541,145972.0
1542,138328.0
1543,216004.0
1544,76108.0
1545,108706.0
1546,129073.0
1547,131049.0
1548,135077.0
1549,106954.0
1550,137599.0
1551,114671.0
1552,140145.0
1553,152009.0
1554,109714.0
1555,164284.0
1556,82688.0
1557,115699.0
1558,98176.0
1559,70948.0
1560,145760.0
1561,138483.0
1562,129861.0
1563,123286.0
1564,158061.0
1565,149204.0
1566,237103.0
1567,78112.0
1568,232971.0
1569,128729.0
1570,142084.0
1571,127349.0
1572,145687.0
1573,242854.0
1574,110008.0
1575,227707.0
1576,238782.0
1577,186947.0
1578,148870.0
1579,147709.0
1580,195452.0
1581,151898.0
1582,128885.0
1583,333907.0
1584,222781.0
1585,142396.0
1586,62679.0
1587,101656.0
1588,144520.0
1589,97808.0
1590,134308.0
1591,95047.0
1592,121133.0
1593,129987.0
1594,124376.0
1595,113111.0
1596,235462.0
1597,181743.0
1598,210971.0
1599,175866.0
1600,181264.0
1601,67454.0
1602,112233.0
1603,76036.0
1604,271144.0
1605,259214.0
1606,166856.0
1607,176995.0
1608,208944.0
1609,190415.0
1610,150683.0
1611,138123.0
1612,157012.0
1613,161188.0
1614,123417.0
1615,86183.0
1616,75739.0
1617,90473.0
1618,129535.0
1619,139912.0
1620,175777.0
1621,138916.0
1622,145013.0
1623,289905.0
1624,212997.0
1625,123716.0
1626,163020.0
1627,189921.0
1628,256571.0
1629,186530.0
1630,331540.0
1631,212876.0
1632,235181.0
1633,176242.0
1634,189494.0
1635,177807.0
1636,152567.0
1637,199804.0
1638,179608.0
1639,179134.0
1640,261778.0
1641,176514.0
1642,223275.0
1643,232335.0
1644,229971.0
1645,190838.0
1646,156856.0
1647,162598.0
1648,132002.0
1649,137976.0
1650,113197.0
1651,123767.0
1652,97549.0
1653,101321.0
1654,148404.0
1655,150343.0
1656,146228.0
1657,150890.0
1658,147661.0
1659,125610.0
1660,155890.0
1661,437219.0
1662,443958.0
1663,397362.0
1664,371864.0
1665,309910.0
1666,317579.0
1667,361972.0
1668,344476.0
1669,292226.0
1670,359308.0
1671,266615.0
1672,445688.0
1673,299928.0
1674,246701.0
1675,185558.0
1676,185298.0
1677,218531.0
1678,408426.0
1679,386789.0
1680,346839.0
1681,250051.0
1682,299153.0
1683,173590.0
1684,177060.0
1685,174761.0
1686,170788.0
1687,172398.0
1688,190715.0
1689,196840.0
1690,202059.0
1691,183520.0
1692,259948.0
1693,164939.0
1694,184792.0
1695,171198.0
1696,281854.0
1697,178569.0
1698,383277.0
1699,322416.0
1700,239837.0
1701,271827.0
1702,246151.0
1703,254847.0
1704,297319.0
1705,227565.0
1706,363769.0
1707,209556.0
1708,194386.0
1709,275679.0
1710,223491.0
1711,248338.0
1712,269991.0
1713,281359.0
1714,220870.0
1715,202816.0
1716,187615.0
1717,175980.0
1718,135844.0
1719,199569.0
1720,247882.0
1721,171810.0
1722,128015.0
1723,157263.0
1724,217820.0
1725,236297.0
1726,179863.0
1727,155606.0
1728,183044.0
1729,165722.0
1730,165985.0
1731,120463.0
1732,119739.0
1733,118641.0
1734,123380.0
1735,132842.0
1736,113025.0
1737,342276.0
1738,224257.0
1739,273953.0
1740,213825.0
1741,193680.0
1742,169844.0
1743,176217.0
1744,303904.0
1745,207531.0
1746,186351.0
1747,214760.0
1748,215147.0
1749,143787.0
1750,126399.0
1751,229533.0
1752,120182.0
1753,146009.0
1754,197588.0
1755,159211.0
1756,131182.0
1757,120857.0
1758,148481.0
1759,164057.0
1760,162054.0
1761,141067.0
1762,174831.0
1763,170765.0
1764,115011.0
1765,163925.0
1766,184040.0
1767,225635.0
1768,147861.0
1769,174681.0
1770,151185.0
1771,131059.0
1772,134674.0
1773,133616.0
1774,132098.0
1775,141977.0
1776,129163.0
1777,113330.0
1778,143471.0
1779,115429.0
1780,183365.0
1781,130554.0
1782,84378.0
1783,140082.0
1784,104884.0
1785,118121.0
1786,149094.0
1787,162115.0
1788,54155.0
1789,103254.0
1790,71629.0
1791,181718.0
1792,159400.0
1793,135146.0
1794,150049.0
1795,139580.0
1796,124536.0
1797,110608.0
1798,124347.0
1799,111164.0
1800,129632.0
1801,133219.0
1802,141152.0
1803,148963.0
1804,140672.0
1805,139621.0
1806,121848.0
1807,130367.0
1808,123140.0
